,index,City_name,Duration_minutes_x,Duration_str_x,Duration_hours_x,Duration_minutes_y,Duration_str_y,Duration_hours_y,In_Hour,Out_Hour,Price_x_x,Price_y_x,Price_Out_LCC,Price_Out_FSC,Price_Diff,Price_x_y,Price_y_y,Price_In_LCC,Price_In_FSC,Price_In_Diff,LCC_Price_Out_byHour,FSC_Price_Out_byHour,LCC_Price_In_byHour,FSC_Price_In_byHour,Price_Out_LCC_USD,Price_Out_FSC_USD,Price_In_LCC_USD,Price_In_FSC_USD,Price_Out_LCC_USD_by_Hour,Price_Out_FSC_USD_by_Hour,Price_In_LCC_USD_by_Hour,Price_In_FSC_USD_by_Hour
0,3,Bali,435.49792531120335,7시간 15분,7.258298755186723,417.42424242424244,6시간 57분,6.957070707070708,7.258298755186723,6.957070707070708,414476.9387755102,723022.9932885906,414476.9387755102,723022.9932885906,308546.0545130804,414476.9387755102,769671.9623655914,414476.9387755102,769671.9623655914,355195.02359008125,59576.358531797465,103926.3540262366,57103.86865507957,106040.270361645,318.82841444270014,556.1715332989158,318.82841444270014,592.0553556658396,45.827968101382666,79.94334925095123,43.92605281159967,81.56943873972692
1,4,Bangkok,332.1022290545734,5시간 32분,5.535037150909557,357.7233502538071,5시간 58분,5.962055837563452,5.535037150909557,5.962055837563452,169071.94972067038,423917.4279069767,169071.94972067038,423917.4279069767,254845.47818630634,169071.94972067038,574576.160949868,169071.94972067038,574576.160949868,405504.2112291977,28357.995014982283,71102.5591602345,30545.766019454317,103807.10106985453,130.0553459389772,326.09032915921284,130.0553459389772,441.98166226912923,21.81384231921714,54.694276277103455,23.496743091887936,79.8516162075804
2,5,Barcelona,747.6041666666666,12시간 28분,12.460069444444445,876.3333333333334,14시간 36분,14.605555555555556,12.460069444444445,14.605555555555556,474042.85714285716,1059787.5,474042.85714285716,1059787.5,585744.6428571428,474042.85714285716,1357728.04,474042.85714285716,1357728.04,883685.1828571429,32456.33864043906,72560.57436287562,38044.96108600888,108966.33008778041,364.64835164835165,815.2211538461538,364.64835164835165,1044.4061846153847,24.966414338799275,55.81582643298125,29.265354681545293,83.82025391367725
3,7,Brisbane,593.8095238095239,9시간 54분,9.896825396825397,572.7777777777778,9시간 33분,9.546296296296298,9.896825396825397,9.546296296296298,762601.9230769231,978307.1428571428,762601.9230769231,978307.1428571428,215705.21978021972,762601.9230769231,715824.1379310344,762601.9230769231,715824.1379310344,-46777.78514588869,79884.58554055062,102480.28266592766,77055.20634137314,72328.66189198905,586.6168639053254,752.5439560439561,586.6168639053254,550.6339522546418,61.44968118503893,78.8309866660982,59.27323564721011,55.63743222460696
4,9,Cebu,278.34890965732086,4시간 38분,4.639148494288681,273.3333333333333,4시간 33분,4.555555555555555,4.639148494288681,4.555555555555555,163775.0,318638.2,163775.0,318638.2,154863.2,163775.0,383874.0580645161,163775.0,383874.0580645161,220099.0580645161,35950.60975609756,69944.97073170732,35302.814773363185,82746.66321569761,125.98076923076923,245.1063076923077,125.98076923076923,295.2877369727047,27.654315196998123,53.80382363977486,27.156011364125526,63.65127939669047
5,10,Chiang Mai,317.36842105263156,5시간 17분,5.289473684210526,342.7037037037037,5시간 43분,5.711728395061728,5.289473684210526,5.711728395061728,271843.3384615385,475570.0,271843.3384615385,475570.0,203726.6615384615,271843.3384615385,566183.3035714285,271843.3384615385,566183.3035714285,294339.96510989004,47593.88396278962,83262.01232032855,51393.267967853055,107039.62953091685,209.1102603550296,365.82307692307694,209.1102603550296,435.5256181318681,36.61067997137663,64.04770178486811,39.533283052194655,82.33817656224373
6,11,Da Nang,273.6046511627907,4시간 34분,4.560077519379845,283.13291139240505,4시간 43분,4.718881856540084,4.560077519379845,4.718881856540084,281507.58928571426,373781.5,281507.58928571426,373781.5,92273.91071428574,281507.58928571426,489480.4651162791,281507.58928571426,489480.4651162791,207972.87583056482,59655.57050248288,79209.76014306472,61733.07100358205,107340.38249043775,216.54429945054943,287.52423076923077,216.54429945054943,376.52343470483004,45.88890038652529,60.9305847254344,47.48697769506312,82.56952499264443
7,14,Frankfurt,708.8659793814433,11시간 49분,11.81443298969072,814.4107744107744,13시간 34분,13.57351290684624,11.81443298969072,13.57351290684624,519499.2086956522,944470.1373626373,519499.2086956522,944470.1373626373,424970.9286669851,519499.2086956522,2300734.0166666666,519499.2086956522,2300734.0166666666,1781234.8079710144,38273.01099287466,69581.84987515378,43971.57351088854,194739.26668121002,399.61477591973244,726.5154902789518,399.61477591973244,1769.7953974358975,29.440777686826664,53.52449990396445,33.82428731606811,149.79943590862308
8,15,Gimpo(Seoul),143.98648648648648,2시간 24분,2.399774774774775,129.48253557567918,2시간 9분,2.158042259594653,2.399774774774775,2.158042259594653,281503.5086705202,361148.835,281503.5086705202,361148.835,79645.32632947981,281503.5086705202,308932.7090301003,281503.5086705202,308932.7090301003,27429.200359580107,130443.92778637953,167350.21447996804,117304.13688382071,128734.04299330318,216.54116051578478,277.80679615384616,216.54116051578478,237.64054540776948,100.34148291259963,128.73093421536004,90.23395144909286,99.02618691792553
9,16,Hanoi,254.51977401129943,4시간 15분,4.2419962335216574,277.2413793103448,4시간 37분,4.620689655172414,4.2419962335216574,4.620689655172414,174599.109375,446142.35353535356,174599.109375,446142.35353535356,271543.24416035356,174599.109375,557612.5,174599.109375,557612.5,383013.390625,37786.37441697761,96553.19591436756,41159.65686043285,131450.49389567148,134.30700721153846,343.1864257964258,134.30700721153846,428.9326923076923,29.066441859213548,74.27168916489812,31.66127450802527,101.1157645351319
