tSNE1,tSNE2,cluster
-18.083168,-1.5333896,0
-9.410731,-9.13753,0
-17.353933,-1.0990256,0
-17.184616,-1.0482544,0
-4.7104197,-5.163889,0
22.453407,3.1243932,0
24.763477,0.6593461,0
33.283188,-7.168593,0
28.575056,1.4443899,0
31.52619,8.478729,0
-1.4332263,31.530338,0
-4.10108,26.067484,0
3.770162,34.07727,0
0.9172709,32.30222,0
0.36158156,24.705593,0
1.566097,26.314558,0
5.6033626,25.373201,0
1.0124309,31.821909,0
1.6939317,35.892624,0
-1.7710984,34.136963,0
27.846743,-5.9359894,0
27.141397,-4.9029794,0
26.857962,-5.434395,0
22.556465,3.0460336,0
22.70281,3.5293174,0
-1.5383601,35.97748,0
-1.6960825,36.04915,0
-5.2155914,32.581684,0
2.4599562,23.487265,0
-7.435178,26.114983,0
24.068798,7.668588,0
30.448532,-0.4546099,0
30.633228,-5.762396,0
23.51691,6.310885,0
25.995409,8.470647,0
-0.3459857,30.161825,0
-4.584768,33.792656,0
-6.897637,25.771765,0
0.09923881,32.26748,0
-6.161481,27.222345,0
26.280943,6.30961,0
30.17133,-2.3789573,0
29.100805,-6.0906696,0
28.116283,3.2397254,0
28.955694,-4.8268485,0
-5.906728,29.234924,0
-2.3170996,30.435377,0
-6.763611,24.824354,0
-4.917001,28.979624,0
-7.017879,24.744755,0
23.94941,2.5178108,0
27.043997,-4.2564273,0
25.168955,-6.0573807,0
27.821375,-7.0514207,0
34.931477,1.9657379,0
26.64869,-3.9231634,0
23.553486,-4.700749,0
23.09104,-2.7722578,0
28.2583,-2.8897498,0
25.448109,3.2485642,0
24.641092,2.01286,0
19.419771,0.26091716,0
29.729242,2.2306228,0
25.66262,5.1522536,0
30.808632,-1.7425439,0
32.09002,2.412844,0
21.916262,1.2555108,0
24.958248,-0.19308563,0
26.966112,1.2983863,0
23.86616,-0.6459337,0
-12.603274,-6.5678473,0
-3.778372,-13.176893,0
-5.386413,-3.3521278,0
-5.314258,-14.051015,0
-10.890363,-9.945189,0
28.858221,-2.3702247,0
33.382526,-5.072229,0
27.022299,-2.0004516,0
33.795986,-4.318363,0
27.1336,-8.459009,0
4.210548,24.224512,0
3.3621671,35.963547,0
-1.7447836,34.526146,0
3.4752073,29.589087,0
4.0598106,29.536484,0
-11.667869,-8.1757345,0
-4.523326,-15.613244,0
-3.5898156,-13.196664,0
-8.849434,-2.8668077,0
-11.920916,-0.7266686,0
28.629341,-1.3228258,0
27.588278,3.3407004,0
26.769724,4.0386605,0
27.886982,3.2384226,0
26.338455,6.272508,0
5.3196855,28.93553,0
1.2689761,30.197323,0
4.669416,27.375917,0
3.3898466,29.74164,0
-2.043183,22.993177,0
-9.027263,-17.357563,0
-18.5595,-10.360867,0
-12.570869,-6.014381,0
-10.098579,-9.079238,0
-7.3078504,-12.891878,0
-1.9584873,24.568384,0
-0.41892925,29.5775,0
-0.40556675,22.24629,0
-0.7084929,28.047443,0
-1.7636212,27.973911,0
-15.672848,-7.3401265,0
-8.730805,-18.17921,0
-15.291743,-7.3614044,0
-6.335388,-13.170309,0
-5.417047,-13.868638,0
30.867039,-5.7386723,0
23.53107,-6.2059736,0
22.856756,-3.4402008,0
27.198725,-1.0597384,0
27.878448,-1.8679806,0
21.672161,-3.9246254,0
29.040369,-2.2881198,0
31.42205,-2.5921843,0
34.628872,-0.72651327,0
31.508457,0.20557998,0
-4.7125735,33.722374,1
-2.948362,33.665325,1
-3.3236673,24.568367,1
0.045871265,29.011356,1
-3.3507564,24.67577,1
4.9882593,31.987041,1
-0.9009971,23.577864,1
5.598194,25.367096,1
0.0044767214,23.837322,1
-7.180662,31.013258,1
-7.2124577,30.757011,1
4.146564,25.864164,1
0.014932658,28.849203,1
-7.25319,30.446144,1
6.0750237,29.973526,1
-0.45277277,33.943657,1
3.6834426,28.05306,1
-0.30820543,35.24512,1
0.73409635,36.22449,1
-2.7025733,24.880762,1
-0.05946008,32.843945,1
2.923971,27.036737,1
0.849939,29.322214,1
-0.41707465,30.880262,1
-4.2252226,33.84186,1
19.394289,0.23226112,1
32.731915,1.850167,1
32.21863,3.0352156,1
24.837587,4.2299967,1
22.414608,5.505175,1
25.39755,6.724419,1
24.709093,3.8829067,1
22.537586,2.9485908,1
21.347311,6.2855525,1
21.136318,6.7591434,1
-1.9809132,27.599348,1
0.99436915,30.058517,1
1.6059276,29.33398,1
-7.0346828,32.76965,1
-3.2506347,33.589226,1
32.408276,2.926051,1
23.25885,1.5580075,1
25.323896,-1.7674856,1
25.387173,-7.421354,1
25.360228,-2.8930197,1
-0.027087372,25.64764,1
-0.90518624,32.509502,1
-3.7828097,24.910677,1
0.7232931,25.80223,1
-5.9907575,32.13629,1
0.27633578,28.269709,1
