UMAP1,UMAP2,cluster
7.5171943,9.116798,0
7.3072124,7.005017,0
7.7331614,9.045805,0
7.975107,9.023379,0
7.191236,7.814657,0
-6.748401,11.212315,0
-7.2832375,11.66753,0
-5.8161683,12.1841545,0
-6.8327937,11.647538,0
-6.2472725,11.815658,0
0.3462294,-4.7517505,0
0.89874625,-4.947616,0
-0.37218654,-5.016932,0
-0.11719395,-4.962048,0
0.61696726,-5.6637554,0
0.4535757,-5.396337,0
0.7168268,-5.0893064,0
-0.16251886,-4.8147154,0
-0.0049561393,-4.68713,0
-0.021447673,-4.6518154,0
-6.7390394,12.234268,0
-6.726887,12.512636,0
-6.745468,12.193032,0
-6.649168,11.189491,0
-6.4504156,10.79231,0
0.36351073,-5.196929,0
0.41389924,-5.108425,0
0.49266765,-5.202392,0
0.24953322,-4.850533,0
1.5272481,-4.9988513,0
-6.2530456,10.579883,0
-6.0156274,11.9572935,0
-6.2883363,12.791242,0
-6.4303637,10.659191,0
-5.828832,10.843894,0
0.47863388,-4.6756697,0
0.9802868,-4.0775833,0
1.2612292,-5.141659,0
-0.10472478,-4.8541346,0
1.2195063,-5.064402,0
-6.0624037,10.687435,0
-6.0123887,12.019726,0
-6.622168,12.689795,0
-5.9229393,11.685895,0
-6.3298926,12.759903,0
1.1009105,-4.888187,0
0.24978162,-4.9297824,0
1.1578062,-5.1833596,0
0.44534448,-4.76718,0
1.4677355,-5.135103,0
-6.4127374,11.471608,0
-6.967353,12.339335,0
-6.6039767,12.261097,0
-6.4918647,12.35888,0
-7.4105268,11.789786,0
-7.1086264,12.404327,0
-7.2589006,12.247199,0
-6.6912937,12.369229,0
-5.970035,12.464919,0
-6.7040052,11.021305,0
-6.643692,11.7407675,0
-6.6350756,11.198568,0
-6.2577114,11.817576,0
-6.3389993,10.916609,0
-6.0842347,12.404837,0
-5.26035,11.864693,0
-6.8978424,11.046966,0
-6.7273884,11.945323,0
-7.0911255,11.214438,0
-6.6154475,12.198759,0
8.024734,7.5993,0
6.9301424,7.0090356,0
7.4827065,7.733002,0
6.3388658,6.9872165,0
7.1252766,7.5860696,0
-6.086332,12.418611,0
-6.053204,12.701718,0
-6.9335275,12.195223,0
-5.810826,12.739657,0
-7.1533184,12.798553,0
0.3039147,-5.5456076,0
0.8740873,-4.8850946,0
-0.03913316,-4.7012362,0
0.30883405,-5.0985456,0
0.05882289,-5.372518,0
6.8367205,7.389534,0
7.332166,7.5972433,0
6.909051,6.9789505,0
6.756275,7.830971,0
7.49183,8.913753,0
-6.211561,12.099086,0
-6.253757,11.476573,0
-6.181571,10.97946,0
-6.22424,11.456108,0
-6.0448055,10.80058,0
0.2355242,-5.0149016,0
0.47852162,-4.3981175,0
0.05908974,-5.045041,0
0.22798286,-5.0363183,0
0.69271684,-5.16117,0
6.520781,6.7061753,0
7.5828114,7.517989,0
7.9316635,7.9289804,0
7.30808,7.3295374,0
6.6518984,6.958713,0
0.74227756,-5.1610312,0
0.6515093,-4.495329,0
0.66754097,-5.0972643,0
0.57480437,-4.9817615,0
0.8700226,-5.0608187,0
7.8832603,7.6991634,0
6.54815,6.5960164,0
8.324554,7.824965,0
6.6575537,7.053449,0
6.366089,6.916392,0
-6.2109303,12.843136,0
-7.364016,11.795704,0
-7.150315,11.951306,0
-6.544343,12.167734,0
-5.939856,12.394061,0
-6.7525806,11.599131,0
-5.964873,12.265232,0
-5.977216,12.463987,0
-5.362935,12.170885,0
-6.0397344,11.372996,0
0.98970085,-4.1253467,1
0.50597715,-4.1750226,1
0.7496245,-5.203397,1
0.620704,-4.411064,1
0.7279316,-5.2269015,1
-0.40382206,-5.24546,1
0.804739,-5.3249516,1
0.8831141,-5.146948,1
0.94253445,-5.330692,1
0.9493809,-5.2040854,1
1.0847534,-5.2155347,1
0.5888485,-5.008103,1
0.6427379,-4.7503533,1
1.1923,-5.1045556,1
0.27347472,-4.9163795,1
0.3835419,-5.437686,1
0.22602873,-4.6235867,1
0.3480617,-4.999272,1
0.30208343,-4.946059,1
0.7985281,-5.077396,1
0.1315842,-4.9503665,1
0.3604587,-4.521274,1
0.6578253,-4.8546386,1
0.34341016,-4.861878,1
0.96932006,-4.011043,1
-6.7040005,11.419213,1
-5.325142,11.702463,1
-5.20135,11.743619,1
-7.1541605,11.404005,1
-6.700309,10.529251,1
-6.1220617,10.711819,1
-6.5391726,11.018721,1
-6.9341125,11.35428,1
-6.9398265,10.496897,1
-6.951604,10.4809065,1
0.9612464,-5.321761,1
0.45881844,-4.351485,1
0.31617823,-4.4249797,1
0.9111065,-5.058329,1
0.75628895,-3.984813,1
-5.1969523,11.768212,1
-6.6201663,11.06625,1
-7.1205134,12.279744,1
-6.8298845,12.385539,1
-6.501737,12.210697,1
0.20204915,-5.75321,1
-0.21868491,-4.6625385,1
1.1517901,-4.756391,1
0.29357752,-5.7069197,1
0.7119216,-5.0409975,1
0.47711918,-4.9131474,1
0.23708935,-5.5212793,1
-0.3059969,-5.0593343,1
0.2823787,-5.188274,1
0.8988194,-5.413959,1
-6.6982627,11.901931,1
-5.9598556,11.614949,1
