city,country,query,latitude,longitude,south,north,west,east
Taipei,Taiwan,"Taipei, Taiwan",25.0375198,121.5636796,24.9875198,25.0875198,121.5136796,121.6136796
Kaoshiung,Taiwan,"Kaoshiung, Taiwan",23.2527275,120.8194034,23.2027275,23.3027275,120.7694034,120.8694034
Beijing,China,"Beijing, China",40.190632,116.412144,40.140632,40.240632,116.362144,116.462144
Shanghai,China,"Shanghai, China",31.2312707,121.4700152,31.1812707,31.2812707,121.4200152,121.5200152
Hong Kong,China,"Hong Kong, China",22.350627,114.1849161,22.300627,22.400627,114.1349161,114.2349161
Macau,China,"Macau, China",22.1757605,113.5514142,22.1257605,22.2257605,113.5014142,113.6014142
Qingdao,China,"Qingdao, China",36.0663249,120.3777659,36.0163249,36.1163249,120.3277659,120.4277659
Hanoi,Vietnam,"Hanoi, Vietnam",21.0283334,105.854041,20.9783334,21.0783334,105.804041,105.904041
Ho Chi Minh City,Vietnam,"Ho Chi Minh City, Vietnam",10.7763897,106.7011391,10.7263897,10.8263897,106.6511391,106.7511391
Chiangmai,Thailand,"Chiangmai, Thailand",18.8009264,98.9521552,18.7509264,18.8509264,98.9021552,99.0021552
Da nang,Vietnam,"Da nang, Vietnam",16.068,108.212,16.018,16.118,108.162,108.262
Bangkok,Thailand,"Bangkok, Thailand",13.7524938,100.4935089,13.7024938,13.8024938,100.4435089,100.5435089
Kota Kinabalu,Malaysia,"Kota Kinabalu, Malaysia",5.9780066,116.0728988,5.9280066,6.0280066,116.0228988,116.1228988
Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",3.1526589,101.7022205,3.1026589,3.2026589,101.6522205,101.7522205
Singapore,Singapore,"Singapore, Singapore",1.357107,103.8194992,1.307107,1.407107,103.7694992,103.8694992
Jakarta,Indonesia,"Jakarta, Indonesia",-6.1754049,106.827168,-6.2254049,-6.1254049,106.777168,106.877168
Bali,Indonesia,"Bali, Indonesia",-8.2271303,115.1919203,-8.2771303,-8.1771303,115.1419203,115.2419203
Manila,Phillipines,"Manila, Phillipines",14.5376769,120.9811051,14.4876769,14.5876769,120.9311051,121.0311051
Cebu City,Phillipines,"Cebu City, Phillipines",10.2935639,123.9019209,10.2463015,10.4957531,123.7533688,123.9302169
Delhi,India,"Delhi, India",28.6273928,77.1716954,28.5773928,28.6773928,77.1216954,77.2216954
Agra,India,"Agra, India",27.1752554,78.0098161,27.1252554,27.2252554,77.9598161,78.0598161
Karthmandu,Nepal,"Karthmandu, Nepal",27.7172453,85.3239605,27.6333,27.7667,85.2667,85.4333
Abu Dhabi,UAE,"Abu Dhabi, UAE",24.4538352,54.3774014,24.4038352,24.5038352,54.3274014,54.4274014
Dubai,UAE,"Dubai, UAE",25.0742823,55.1885387,25.0242823,25.1242823,55.1385387,55.2385387
