,Unnamed: 0.1,Unnamed: 0,Date,City,Hotel Name,Local Price,Currency,USD Price,Latitude,Longitude
0,0,0,2025-07-14,Taipei,CHECK inn Express Taipei Station,1110.93,TWD,34.43883,25.051658,121.515466
1,1,1,2025-07-14,Taipei,Star Hostel Taipei Main Station,936.0,TWD,29.016,25.0500815,121.5155797
2,2,2,2025-07-14,Taipei,Taipei Fullerton Hotel - South,3914.89,TWD,121.36159,25.03148,121.5438905
3,3,3,2025-07-14,Taipei,Hotel Sunroute Taipei,2557.8,TWD,79.29180000000001,25.0629459,121.5233055
4,4,4,2025-07-14,Taipei,Green World JianPei,1395.0,TWD,43.245,25.0510892,121.5363564
5,5,5,2025-07-14,Taipei,Hotel Relax III,2344.36,TWD,72.67516,25.0450709,121.514047
6,6,6,2025-07-14,Taipei,Park City Inn & Hostel,598.4,TWD,18.5504,25.0128589,121.5153639
7,7,7,2025-07-14,Taipei,Old Door Hostel & Bar,873.0,TWD,27.063,25.0496725,121.5145267
8,8,8,2025-07-14,Taipei,Humble Boutique Hotel,4851.0,TWD,150.381,25.0516797,121.5328186
9,9,9,2025-07-14,Taipei,Chaiin Hotel - Dongmen,1980.0,TWD,61.38,25.0340699,121.528913
10,10,10,2025-07-14,Taipei,Yi Su Hotel-Taipei Ningxia,1392.0,TWD,43.152,25.0533771,121.5140612
11,11,11,2025-07-14,Taipei,CHECK inn Taipei Main Station,1480.22,TWD,45.88682,25.0433113,121.513884
12,12,12,2025-07-14,Taipei,Star Hostel Taipei East,936.0,TWD,29.016,25.0420137,121.5497336
13,13,13,2025-07-14,Taipei,CU Hotel Taipei,799.52,TWD,24.78512,25.0569264,121.5162738
14,14,14,2025-07-14,Taipei,Morwing Hotel - Culture Vogue,1415.12,TWD,43.86872,25.0452279,121.5160223
15,15,15,2025-07-14,Taipei,泊居旅店二館 Oursinn Hotel 2,1147.5,TWD,35.5725,25.0556075,121.5253376
16,16,16,2025-07-14,Taipei,Green World Mai - NanJing,1395.0,TWD,43.245,25.052255,121.535989
17,17,17,2025-07-14,Taipei,Goodmore Hotel,1580.4,TWD,48.9924,25.0266799,121.5307666
18,18,18,2025-07-14,Taipei,Guide Hotel Taipei Chongqing,1293.63,TWD,40.10253,25.052001,121.51383
19,19,19,2025-07-14,Taipei,Roaders Plus Hotel - Theme,2299.2,TWD,71.2752,25.0469444,121.5137882
20,20,20,2025-07-14,Beijing,7Days Inn Beijing Xiaotangshan,199.0,CNY,27.860000000000003,40.1769702,116.4074563
21,21,21,2025-07-14,Beijing,YiPiao Courtyard Spring Resort Xiaotangshan Beijing,1280.0,CNY,179.20000000000002,40.17760000000001,116.39977
22,22,22,2025-07-14,Shanghai,ZHome-FuDi Garden-Near the Bund,1732.8,CNY,242.592,31.2234,121.49116
23,23,23,2025-07-14,Shanghai,Radisson Blu Hotel Shanghai New World,829.55,CNY,116.137,31.2347912,121.4731104
24,24,24,2025-07-14,Shanghai,Grand Hyatt Shanghai,1232.0,CNY,172.48000000000002,31.2353438,121.5057797
25,25,25,2025-07-14,Shanghai,Shanghai Marriott Marquis City Centre,1174.16,CNY,164.38240000000002,31.236536,121.473374
26,26,26,2025-07-14,Shanghai,Campanile Shanghai Bund Hotel,593.0,CNY,83.02000000000001,31.2302304,121.4837931
27,27,27,2025-07-14,Shanghai,Shanghai Meego Qingwen Hotel,86.45,CNY,12.103000000000002,31.23512999999999,121.451614
28,28,28,2025-07-14,Shanghai,Meego Yes Hotel,96.43,CNY,13.500200000000005,31.23038,121.4737
29,29,29,2025-07-14,Shanghai,City Hotel Shanghai,428.0,CNY,59.92000000000001,31.222658,121.457082
30,30,30,2025-07-14,Shanghai,Shanghai Park Hotel - Hudec Excellent Historical Building - Priority Access for Classic Butterfly Cookies Without queuing to guests,630.81,CNY,88.3134,31.230416,121.473701
31,31,31,2025-07-14,Shanghai,Hotel Indigo Shanghai On The Bund by IHG,1045.58,CNY,146.3812,31.22791,121.49541
32,32,32,2025-07-14,Shanghai,SSAW Boutique Hotel Shanghai Bund,811.4,CNY,113.596,31.227774,121.48462
33,33,33,2025-07-14,Shanghai,Jianguo Hotel Shanghai,385.54,CNY,53.97560000000001,31.189785,121.43814
34,34,34,2025-07-14,Shanghai,Holiday Inn Express Shanghai Putuo by IHG,372.54,CNY,52.15560000000001,31.23405,121.4256
