country,City,Area_sqkm,Population_thousands,Lunch_Price_USD,Dinner_Price_USD,Transit_Fare_USD,Airport_to_Center_Min,Airport_Transfer_USD,Daily_Food_Cost,Daily_Transit_Cost,Avg_Hotel_Price_USD,Estimated_Total_Cost,cpi_food,cpi_gen,ex_eur,ex_usd,gdp_pc,gdp_infl,econ_val,pop_val,creditcard_ratio,cluster
China,Beijing,"16,410.54","21,893",6.95,19.771567924033533,0.45,25.0,3.48,26.721567924033533,3.93,126.72625,157.37781792403354,120.56,114.16666666666669,7.460574443666666,6.756710571666666,11651.460566666668,1.9312032973333333,5.549565736999999,1411748333,37.95,0
China,Shanghai,"6,341","24,874",4.52,15.3,0.45,63.0,1.0,19.82,1.45,108.96114173913044,130.23114173913044,120.56,114.16666666666669,7.460574443666666,6.756710571666666,11651.460566666668,1.9312032973333333,5.549565736999999,1411748333,37.95,0
China,Qingdao,"10,654","7,172.5",4.5,20.0,0.45,73.0,1.81,24.5,2.26,144.61859523809525,171.37859523809524,120.56,114.16666666666669,7.460574443666666,6.756710571666666,11651.460566666668,1.9312032973333333,5.549565736999999,1411748333,37.95,0
China,Hong Kong,"2,754","7,498.1",9.55,22.29,0.45,24.0,14.65,31.84,15.1,159.69468456989247,206.63468456989247,120.56,114.16666666666669,7.460574443666666,6.756710571666666,11651.460566666668,1.9312032973333333,5.549565736999999,1411748333,37.95,2
China,Macau,119.3,712.6,8.8,25.03450327071872,0.74,30.0,1.0,33.83450327071872,1.74,183.4239233333333,218.99842660405207,120.56,114.16666666666669,7.460574443666666,6.756710571666666,11651.460566666668,1.9312032973333333,5.549565736999999,1411748333,37.95,1
Vietnam,Hanoi,"3,359","8,718",3.0,8.53448975138138,0.31,60.0,2.0,11.53448975138138,2.31,53.18987067708064,67.03436042846202,187.3696,177.4333333333333,25872.736340000003,23406.104753333333,3574.15987,2.946080516,5.241224576666666,99655981,0.0,0
Vietnam,Ho Chi Minh City,"2,095","9,456.7",1.5,4.26724487569069,0.27,23.0,3.83,5.76724487569069,4.1,51.10808967990322,60.97533455559392,187.3696,177.4333333333333,25872.736340000003,23406.104753333333,3574.15987,2.946080516,5.241224576666666,99655981,0.0,0
Vietnam,Da Nang,"1,284.7","1,276",1.5,3.5,0.31,15.0,2.87,5.0,3.18,52.14898017849193,60.32898017849193,187.3696,177.4333333333333,25872.736340000003,23406.104753333333,3574.15987,2.946080516,5.241224576666666,99655981,0.0,0
Thailand,Bangkok,"1,568.7","8,305.2",2.13,5.18,0.52,30.0,1.37,7.31,1.89,57.99821356451613,67.19821356451612,137.88333333333335,119.76666666666668,37.189390075,34.50411381,6267.780579166666,3.6765489215,2.21775273,71728513,22.61,0
Thailand,Chiangmai,40.2,127.2,1.98,5.34,0.91,20.0,1.52,7.32,2.43,44.71959425806452,54.46959425806452,137.88333333333335,119.76666666666668,37.189390075,34.50411381,6267.780579166666,3.6765489215,2.21775273,71728513,22.61,0
